epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,657.827,1.1984,1.64027,1.35319,0.49589,0.51282,0.48298,0.2916,1.29088,1.64337,1.38211,0.0006734,0.0006734,0.0006734
69,665.892,1.17624,1.62574,1.34658,0.51601,0.5641,0.5563,0.34822,1.24136,1.54445,1.35264,0.0006536,0.0006536,0.0006536
70,673.642,1.16392,1.60556,1.33951,0.6325,0.49858,0.55951,0.36838,1.20843,1.4821,1.31059,0.0006338,0.0006338,0.0006338
71,681.841,1.19069,1.62186,1.34985,0.56273,0.50997,0.54035,0.35914,1.23357,1.52263,1.35091,0.000614,0.000614,0.000614
72,691.197,1.16311,1.59714,1.34366,0.56677,0.55556,0.58474,0.39698,1.18324,1.44806,1.30147,0.0005942,0.0005942,0.0005942
73,699.225,1.15104,1.58493,1.3296,0.64672,0.52137,0.57562,0.38118,1.16054,1.47227,1.28911,0.0005744,0.0005744,0.0005744
74,706.902,1.13562,1.52,1.31597,0.58845,0.52991,0.56664,0.3825,1.17746,1.47725,1.3147,0.0005546,0.0005546,0.0005546
75,714.353,1.17193,1.55839,1.3299,0.5729,0.53503,0.5583,0.37444,1.20386,1.47066,1.31168,0.0005348,0.0005348,0.0005348
76,725.815,1.13892,1.53733,1.31744,0.63814,0.46724,0.5646,0.37733,1.17767,1.45507,1.31189,0.000515,0.000515,0.000515
77,735.908,1.13636,1.55608,1.31971,0.64723,0.51567,0.567,0.36877,1.22811,1.46913,1.35094,0.0004952,0.0004952,0.0004952
78,746.995,1.14931,1.5717,1.3304,0.56346,0.56695,0.56991,0.37619,1.194,1.43435,1.31545,0.0004754,0.0004754,0.0004754
79,759.335,1.13283,1.54543,1.31802,0.57563,0.62678,0.59443,0.37921,1.22182,1.41753,1.32976,0.0004556,0.0004556,0.0004556
80,768.085,1.10748,1.51114,1.30109,0.61552,0.49858,0.56606,0.38686,1.1608,1.42,1.28817,0.0004358,0.0004358,0.0004358
81,776.842,1.11546,1.52405,1.30431,0.53865,0.47234,0.50482,0.33147,1.26531,1.57065,1.40213,0.000416,0.000416,0.000416
82,788.329,1.14395,1.5294,1.31212,0.53417,0.60684,0.56537,0.37234,1.18889,1.43536,1.32611,0.0003962,0.0003962,0.0003962
83,797.795,1.10898,1.46779,1.30473,0.52733,0.60399,0.54861,0.36485,1.1521,1.4064,1.28176,0.0003764,0.0003764,0.0003764
84,806.465,1.14074,1.50656,1.31013,0.63127,0.56125,0.61396,0.41997,1.12016,1.31633,1.24896,0.0003566,0.0003566,0.0003566
85,815.754,1.0795,1.48479,1.2877,0.58575,0.55556,0.59055,0.41052,1.13663,1.37256,1.27562,0.0003368,0.0003368,0.0003368
86,826.633,1.07641,1.46736,1.28939,0.66304,0.61254,0.66016,0.45592,1.10013,1.26195,1.24176,0.000317,0.000317,0.000317
87,835.499,1.13676,1.46578,1.32108,0.60318,0.59544,0.61788,0.41502,1.15245,1.3739,1.29279,0.0002972,0.0002972,0.0002972
88,845.639,1.08823,1.44741,1.30237,0.61124,0.66667,0.65323,0.44259,1.1139,1.28111,1.273,0.0002774,0.0002774,0.0002774
89,858.128,1.10736,1.46322,1.30039,0.62144,0.59864,0.62632,0.43278,1.09306,1.30264,1.2376,0.0002576,0.0002576,0.0002576
90,869.286,1.0877,1.43386,1.30309,0.62895,0.59884,0.64099,0.44602,1.08818,1.29027,1.23502,0.0002378,0.0002378,0.0002378
91,882.826,1.21027,1.56639,1.40811,0.5789,0.58974,0.59086,0.38731,1.16599,1.41549,1.31812,0.000218,0.000218,0.000218
92,896.907,1.15199,1.42912,1.36384,0.63377,0.59259,0.62582,0.44767,1.06692,1.30881,1.22113,0.0001982,0.0001982,0.0001982
93,906.943,1.12522,1.41292,1.35831,0.59179,0.64387,0.64192,0.46012,1.05215,1.29053,1.22407,0.0001784,0.0001784,0.0001784
94,917.773,1.12402,1.34312,1.34513,0.64621,0.5584,0.6181,0.43501,1.07074,1.30987,1.23444,0.0001586,0.0001586,0.0001586
95,932.204,1.10098,1.37897,1.32956,0.65926,0.64672,0.65777,0.46099,1.03253,1.2507,1.20318,0.0001388,0.0001388,0.0001388
96,942.985,1.09554,1.34629,1.33299,0.68186,0.62963,0.6605,0.47162,1.03078,1.23175,1.20125,0.000119,0.000119,0.000119
97,953.622,1.09604,1.30751,1.32786,0.67034,0.64304,0.65899,0.46943,1.03617,1.23896,1.20424,9.92e-05,9.92e-05,9.92e-05
98,964.888,1.08464,1.30704,1.3223,0.63997,0.63248,0.66102,0.47379,1.02784,1.2412,1.20007,7.94e-05,7.94e-05,7.94e-05
99,974.212,1.0599,1.27387,1.30571,0.66,0.62393,0.67554,0.49138,1.00228,1.21556,1.18185,5.96e-05,5.96e-05,5.96e-05
100,985.837,1.09601,1.27874,1.33814,0.66613,0.62963,0.67671,0.49204,0.99798,1.20516,1.18001,3.98e-05,3.98e-05,3.98e-05
